key,smiles
S0093f7b1166e,CCCCC(CC)CC(=O)C1CC1
S00ae5d24d88e,CCC(C(=O)OC)S(=O)(=O)CC
S013fdf74fdc1,CCCCCCC(=O)CC(C)CCC
S019e3680544f,CC(C)CC1(C)CCCC(C)C1C#N
S020c91bb9432,CCCCCC(C)(C)CCC(C)C#N
S021398c6e8f0,CC(F)C(C)CCCCC(C)(F)F
S02591dae1a2e,CCC(C#N)C1CCC1
S02f75f962139,CCN(C)CC1(CC(C)C)CCC1
S03a167418cad,CCCP(C)CCC(C)CC
S03b1c3d6608e,CC1(C)C2C3CCC4C3CC2C41C
S04f9354a0ce7,CC(Cl)CC(C#N)CC(C)(C)C
S06b428d05009,CC1CC2CC(C2)C(C)C(=O)OC1C
S0729e0894394,CCCC1CC1CC(C)(C)CC
S0784587f49f4,CCS(=O)(=O)CCCC(C)(C)C
S07a15c2261fc,CCC12CC(CN(C)CC1C)C1CC12
S07fbd8140c70,CCCCCCCCC(C)PC
S0856fd16b158,CCC1CCCCC1C(=O)OC(C)C
S085bfae473c3,CC1C2C3CC(C)C45C(CC2C34)CC15
S0864a8853cc8,CCC1CC1C1CCC(C)C1C
S08ece3fc4c24,CCCC(Cl)C(C#N)CC
S092311ac4b7e,CC(CCCC1CC1C)CC(C)(C)C
S0963cf231b77,CCCC(=O)C(CC)S(C)(=O)=O
S09f4af3f55c8,CC1CC2CCSC3CC1C2C3
S0a00113883f1,CCCC(CCC)CC(C)CC#N
S0b95c9bae88a,CCCN(CCC(C)C)C(C)C
S0c1a921aa42c,CCCC1(CCC(C)C)CCCC1
S0d661ac5af93,CCSCC(CC)SSC
S0daec2fd1c9a,COC(=O)C(C)CS(C)(=O)=O
S0debb2ea78ce,CCC1CCC(C)(C)C(=O)C1
S0dfa37ccb00f,CCCC(C)C(C)S(=O)(=O)F
S0e2a3cf7f309,COC(=O)C1CC(C)(F)CC1CF
S0ee0dc5a8bf4,CC(C)N(C(C)C)C(C)C1(C)CC1
S0ef33bcac1ff,COC(=O)OCC1C2CCCC1C2
S0f374748e1f0,CC1C(C#N)C2CC1C(C)(C)C2C
S1001f6556102,CCC1C2CC3CC1(CC3C#N)C2=O
S102a9bcca9d2,CC(=O)C1CCCS(=O)(=O)C1
S105b713f5a46,CCC1(C)CC(=O)CCC1(C)C
S1091aa941239,CCCC1C(C)C1C1CC1CC
S10cf9329fa6e,CCCC12CC(C)C1CC(=O)O2
S116ffdaba3f4,CCCCC(C)(C)CCC(C)C#N
S11daa9807048,CCC1(C(C)(C)C)OOC1=O
S11dbf603976a,CC(C)C(C)CCCC(=O)C#N
S12fd33700510,CCC(SC)C(=O)OC(C)C
S132a7250d70e,CCCC(C(=O)CC)C(CC)C(C)C
S148aedf1b044,CCC1C(C)CC12CCS2(=O)=O
S148e2fa0c07c,CC(C#N)C1CCC(C)C1(C)C
S1534358f24c5,CCCC(CCCC#N)C(F)(F)F
S154d08ee4719,CCCC(C(C)C)C(C)C(=O)OC
S15e4a5daa0b8,CCS(=O)(=O)CC(C)CCCl
S16c5a20ab57f,CCCC(C)C(F)CCC(C)C
S1714f3826520,CC(=O)C1C2CC3CC(C2)CC1C3
S1757108f5ae5,CCCCC1C(CC)C1(C)Cl
S186cb44e056d,CCC1CCC(C)CC1(C)CC(C)C
S18868d4b6d16,CC1CCC2C(C)CC(C)C2C1
S189d47b3f15d,CC1CC2C3C(C)(C)CCC23O1
S18cb379914cf,CC(C)CCOC(=O)C(C)(C)F
S18e7dafbc7d1,CCCCC(SC)SSC
S19e8ece671ac,CCCCC(=O)OCCC(C)C
S1a1cf1d818d4,COC(=O)C1(C)CCCC(=O)C1C
S1ae25b2e2f71,CCCC1CC1(C)C(=O)C#N
S1c0509a5bc15,CCC(CC)(OC(C)=O)C(C)(C)C
S1c44bbe44955,CC1COCC2(C1)C(=O)OCC2C#N
S1cfa065beddf,CCCP(C)CCC
S1dd77507259b,COC(=O)CC1(CC(C)C)CCC1
S1ec7b77ec362,CCC1CC1C1CC(CC(C)C)C1
S1f142f079b38,CC(C)CC(C)(C)C(C)C1CC1
S1f168c1db747,CC1CCC12CC2C(=O)OC1(C)CC1
S1fdfd52b19d6,CC(C)(CCl)CCCl
S20c79f89aeba,CCC(C#N)C(C)CCC(C)C
S212fcef44279,CC1C2CC3CC3C(C#N)C(C2)C1C
S215c3dee5440,CCCCCC(F)C(=O)CN(C)C
S215eed19c40e,CCCC(C)CC(C)S(C)(=O)=O
S21b3f288896b,CCC1(OC(=O)OC)CCC(C)C1
S21c3b61d16a4,CCCCCCCCC(C#N)C(C)C
S21ee62110bf4,CC(F)CC(C)(F)C#N
S226863e83430,CCC(CC(C)(F)F)C(=O)CC#N
S22a1f2e879e5,CCC(C)(C)CCC1C2CCSC21
S22d594f40992,CCCC(=O)C(C)C(=O)CC(C)=O
S235b658d4b26,CCC1OC(=O)CCC1C(C)C
S25d091ed29f0,CCON(C)C(C)C1CCCS1
S29111ea00e0a,CCCC(Cl)(CC)CC
S29d9d1d89fb7,CCC1C(C2C3CCCC32)C1(C)C
S2a6894737951,C1CC2CC3C4CC4C3C3CC(C1)C23
S2aedd08cf251,CCCC(C)(C)CC(=O)C(C)C(C)C
S2b37bc0ab1b1,CSCC(C(=O)F)C(C)C(C)C
S2b6667448be0,CC(=O)CC(=O)C1(C)CC1C
S2c116962cb75,CC1CCC(C)(C)CC1
S2c3975e95d78,CCCOC(=O)C(C)C1CCC1CC
S2c58752f76d1,CC1C2CC3C(C2)C3C1CC#N
S2c62add78ea6,CCCC(C1CC1)C1CC1
S2c6db26ab6e2,CC1(C(=O)C2CCCCC2=O)CCC1
S2c8bb0cecdef,C1CC2CC1CC1CC21
S2d7695c3830d,CCC(CCC(C)C(C)C)OC
S2d92c9c846f8,CCCCCC(=O)OC(C)CCC
S2da4f0e838ce,CCCCC(C)(C)C(Cl)C#N
S2dc26f76daea,CC(=O)OC1(C)CCCC(C)(C)C1C
S2f4777d12906,CC1CCC(CCCCC2CC2C)C1
S2f81a223478a,CCCCC(CCC)CC(C)C#N
S2fe9daef37e6,COC(=O)OCCCSSC
S306bd578470e,CC(=O)CC(C)CCOC(C)=O
S30c282926cf7,CC(C)C(C1CC1)C(C)(C)C
S310e0a4d595b,CC1(C(C#N)CCC2CC2)CCCC1
S3124c1c67d7b,CC1CC2CC3CCC(C1)C3C2
S31bb49561b07,CC(C)(C)CC1CCS1(=O)=O
S3281a174850d,c1csc(CCCC2CC2)c1
S32d001e3f3b6,CCOC(=O)C(C#N)(CC)CC(C)C
S33048bd02f4d,CCCCC(=O)C(C)C(C)OC
S33c8ea617033,CCC1C(=O)OC(C)C(C)C1C
S3411ed878697,CC1CCC2C3CC4CC3CC4C12C
S343eb3b06b68,CC1CCC(C)(CC2CC2)C1(C)C
S3440701362b9,CC(C)C1C(C)CCCC1C#N
S3446c8d7f537,CC(C)CCC1CC1CC1CCC1C
S350f767980e6,CCCC(=O)C(=O)OC
S36c1e53a8081,CCCCC1CC1C1C(=O)CCC1C
S36d3833efd1d,CCCC12CCCC(C1)C(Cl)C2
