smiles,key,error
CC(C)OP(=O)(OC(C)C)OC(C)C,S5ff415d53ba7,"Sorry, an error has been detected in your input data (file, smile or selected charge): &nbsp&nbsp&nbsp&nbsp &nbsp&nbsp&nbsp&nbsp export BOSSdir=/var/www/html/ligpargen/apps/boss-4. Problem found in th"
CCC1CCC(B(OC)OC)C1,Sbe84d86c7cce,"Sorry, an error has been detected in your input data (file, smile or selected charge): &nbsp&nbsp&nbsp&nbsp &nbsp&nbsp&nbsp&nbsp export BOSSdir=/var/www/html/ligpargen/apps/boss-4. Problem found in th"
CCCCCCCC1COB(CC)O1,Scef53bb774b4,"Sorry, an error has been detected in your input data (file, smile or selected charge): &nbsp&nbsp&nbsp&nbsp &nbsp&nbsp&nbsp&nbsp export BOSSdir=/var/www/html/ligpargen/apps/boss-4. Problem found in th"
