key,row_index,csv_line,cation,anion,salt_smi,solvent_smi,molarity,molarity_actual,molarity_err_pct,n_solvent,n_salt,solv_per_ion_pair,n_atoms,box_build_nm,box_equil_nm,net_charge,q_scale,stage,has_xtc,density_g_cm3,prod_ns_day,cn_solv_O,cn_anion,cn_total,ssip,cip,agg,rdf_MO_peak_A,shell_cutoff_A,shell_cutoff_from_rdf,n_frames_used,clust_cutoff_A,clust_cutoff_from_rdf,rdf_cat_an_peak_A,n_components,n_components_sd,n_clusters,n_clusters_sd,free_cation_frac,mean_cluster_size,max_cluster_size,largest_cluster_frac,percolating_frac,mean_cluster_charge
el0038922235c1,129,131,Li,Beti,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1C(COC)C2C3CC3CC12C,1.37,1.358139264064587,-0.8657471485702946,165,64,2.578125,7348,4.9234,4.27722,0.0,0.8,prod,True,1.1623954621536547,675.723,1.5941,2.3165,3.9106,0.0496,0.3516,0.5988,1.99,2.73,True,401.0,3.17,True,2.17,27.896,1.366,23.95,0.891,0.0457,5.187,15.249,0.1191,0.0,-0.0793
el00fa55981158,168,170,Li,BF4,[Li+].[B-](F)(F)(F)F,CCCC(C)(C1CCC1)C1CCC1C,1.37,1.2110678904370358,-11.600883909705423,222,64,3.46875,9264,4.9234,4.44379,0.0,0.8,prod,True,0.9247099071124287,528.721,0.0,4.4539,4.4539,0.0,0.0,1.0,,2.8,False,401.0,2.61,True,2.05,1.0,0.0,1.0,0.0,0.0,128.0,128.0,1.0,1.0,0.0
el01200c08902f,111,113,Li,Beti,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CCCCC1C(=O)OC(C)C,1.46,1.4361895689143305,-1.630851444223938,148,64,2.3125,6736,4.8201,4.19829,0.0,0.8,prod,True,1.2105406602504691,692.475,1.9028,2.5438,4.4466,0.0342,0.2657,0.7002,2.03,2.89,True,401.0,2.83,True,2.17,25.03,0.886,19.846,0.811,0.0352,6.198,30.139,0.2355,0.0,0.0343
el01eee692dc89,27,29,Li,FSI,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(CS(C)(=O)=O)C(F)CF,0.39,0.4836162426920228,24.004164792826355,843,64,13.171875,20029,7.4843,6.034519999999999,0.0,0.8,prod,True,1.2168322831305463,315.447,4.4081,1.1116,5.5197,0.2981,0.5385,0.1634,2.07,2.93,True,401.0,3.03,True,2.23,73.677,2.255,37.318,1.349,0.2927,2.457,4.095,0.032,0.0,-0.0296
el034eb399f701,134,136,Li,Beti,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(CCC)CC(C)CC#N,1.19,1.0602957942057851,-10.899513091950826,216,64,3.375,9184,5.1601,4.645159999999999,-0.0,0.8,prod,True,1.0548209134016222,639.517,0.0,1.9162,4.4698,0.1359,0.4014,0.4626,,2.8,False,401.0,3.07,True,2.19,42.199,2.206,28.507,0.988,0.1318,4.013,23.955,0.1872,0.0,-0.1116
el042e504280e4,98,100,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CCC(=O)C1C(C)C(C)(C)C,1.32,1.2586941932079208,-4.64437930243025,207,64,3.234375,8269,4.9848,4.38702,0.0,0.8,prod,True,1.0946369583091813,659.706,2.1496,2.6952,4.8448,0.0338,0.3249,0.6414,2.07,2.93,True,401.0,2.89,True,2.11,26.06,0.674,22.9,0.582,0.0334,5.455,22.905,0.1789,0.0,-0.0489
el0433e448c756,84,86,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(CC)CC(=O)C1CC1,1.1,0.9976635450465512,-9.303314086677172,260,64,4.0625,10124,5.2971,4.7404,-0.0,0.8,prod,True,1.0263149128438476,535.487,2.723,1.9035,4.6265,0.1267,0.5026,0.3707,2.05,2.79,True,401.0,2.99,True,2.13,50.289,1.318,35.0,0.798,0.1252,3.221,8.383,0.0655,0.0,-0.0209
el051d4515c983,73,75,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CC2C(OC)CC(C)C2(C)C1,0.3,0.2758449589306002,-8.051680356466603,1032,64,16.125,40240,8.1683,7.276479999999999,-0.0,0.8,prod,True,0.9463436394378535,163.878,2.4612,1.7554,4.2166,0.039,0.6873,0.2737,2.01,2.75,True,401.0,2.93,True,2.11,50.488,2.429,45.085,1.265,0.038,2.722,7.841,0.0613,0.0,0.0118
el0635af156dca,49,51,Li,FSI,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CCC(C)C(C)C)OC,1.32,1.1271968885126793,-14.606296324797025,241,64,3.765625,9316,4.9848,4.55138,0.0,0.8,prod,True,0.9370482538569626,552.493,1.4027,2.8639,4.2666,0.0004,0.152,0.8476,1.99,2.77,True,401.0,2.83,True,2.17,11.552,1.078,11.403,1.052,0.0003,11.307,34.527,0.2697,0.0,0.0102
el0660fea33408,160,162,Li,BF4,[Li+].[B-](F)(F)(F)F,CC1CC2CC(C2)CC1C,1.19,1.049306387742455,-11.82299262668444,363,64,5.671875,10548,5.1601,4.661319999999999,-0.0,0.8,prod,True,0.9189062400099933,455.324,0.0,4.5117,4.5117,0.0,0.0,1.0,,2.8,False,401.0,2.69,True,2.05,1.0,0.0,1.0,0.0,0.0,128.0,128.0,1.0,1.0,0.0
el069652a9ccb6,174,176,Li,BF4,[Li+].[B-](F)(F)(F)F,CCCC(C(C)(C)C)C1(CC)OO1,1.46,1.329726388152205,-8.922850126561299,216,64,3.375,7944,4.8201,4.30747,-0.0,0.8,prod,True,0.9599787483972515,577.979,3.1415,3.5236,6.6651,0.0156,0.2705,0.7139,2.11,3.25,True,401.0,2.69,True,2.05,23.433,1.535,21.333,1.412,0.0159,5.928,16.413,0.1282,0.0,0.0025
el0864609bc039,53,55,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC12CC3CC(C1)C2C3,0.88,0.846052060525842,-3.857720394790679,507,64,7.921875,12685,5.7062,5.00815,0.0,0.8,prod,True,1.0524620029581504,481.105,0.0,3.7901,3.7901,0.0,0.0063,0.9937,,2.8,False,401.0,2.77,True,2.09,3.323,1.222,3.323,1.222,0.0,44.153,112.313,0.8774,1.0,0.0
el086c6654a5e8,135,137,Li,Beti,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(OC)C1OC(=O)OC1=O,1.32,1.4678559996862555,11.201212097443591,180,64,2.8125,5908,4.9848,4.16788,-0.0,0.8,prod,True,1.2792056806945653,759.088,2.5568,2.6002,5.157,0.0052,0.282,0.7127,2.15,2.97,True,401.0,3.07,True,2.17,16.821,1.016,16.502,0.942,0.0047,7.762,28.139,0.2198,0.0,-0.0177
el0f0f7b2a2ea7,90,92,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC1C(CC1CC1)C1CCC1,0.97,0.875249541135279,-9.768088542754741,309,64,4.828125,11839,5.5239,4.95183,-0.0,0.8,prod,True,1.005944734163024,488.931,0.0,3.7741,3.7741,0.0,0.009,0.991,,2.8,False,401.0,2.85,True,2.09,3.204,0.576,3.204,0.576,0.0,40.852,90.91,0.7102,1.0,0.0
el10784f3d22bb,221,223,Li,PF6,[Li+].F[P-](F)(F)(F)(F)F,COCS(=O)(=O)C(C)(C)C,0.92,1.0428833435897475,13.356885172798641,384,64,6.0,9728,5.6222,4.67087,-0.0,0.8,prod,True,1.1009276807351678,615.342,3.6943,1.0592,4.7535,0.4164,0.499,0.0846,2.03,2.85,True,401.0,2.95,True,2.15,84.687,2.132,31.413,1.726,0.4093,2.381,4.547,0.0355,0.0,0.0285
el11b92624c1be,33,35,Li,FSI,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1C(C2C3CCCC32)C1(C)C,0.39,0.3447764403457811,-11.595784526722802,881,64,13.765625,31475,7.4843,6.7550799999999995,0.0,0.8,prod,True,0.9144661390599638,215.898,0.0,3.4128,3.4128,0.0,0.0281,0.9719,,2.8,False,401.0,2.89,True,2.17,14.761,2.288,14.761,2.288,0.0,8.878,21.0,0.1641,0.0,0.0
el125b8cd29fc2,22,24,Li,FSI,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1(C)CC(=O)C12CCCC2C,1.1,1.0632870247239445,-3.3375432069141406,263,64,4.109375,10108,5.2971,4.640799999999999,0.0,0.8,prod,True,1.021994262998751,515.216,2.3653,2.6755,5.0408,0.0131,0.375,0.6119,2.09,3.07,True,401.0,3.03,True,2.19,22.189,0.933,21.1,0.719,0.0133,6.021,21.861,0.1708,0.0,-0.0288
el1383b93c6c65,5,7,Li,FSI,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)CCCC1C2CCC12C,1.28,1.1224255970171113,-12.31050023303818,238,64,3.71875,9446,5.0362,4.55782,-0.0,0.8,prod,True,0.9505032732891944,604.569,0.0,3.854,3.854,0.0,0.0004,0.9996,,2.8,False,401.0,2.99,True,2.15,2.274,0.654,2.274,0.654,0.0,59.383,116.602,0.911,0.9005,0.0
el1484204038a1,60,62,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1CCC(CC)C1,0.48,0.37436289196914835,-22.007730839760757,971,64,15.171875,27241,6.9838,6.572219999999999,-0.0,0.8,prod,True,0.8281332192329803,250.872,0.0,3.9053,3.9053,0.0,0.0225,0.9775,,2.8,False,401.0,2.93,True,2.09,6.791,0.85,6.791,0.85,0.0,19.162,48.433,0.3784,0.0,0.0
el1674f7ace82e,16,18,Li,FSI,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,COCC1C2C(C)C2C(C)CC1(C)C,0.97,0.9091503708234963,-6.273157647062239,300,64,4.6875,12040,5.5239,4.889499999999999,0.0,0.8,prod,True,1.0046872753041831,461.855,1.8676,2.2012,4.0689,0.0028,0.4048,0.5923,2.01,2.69,True,401.0,2.93,True,2.17,28.905,1.049,28.736,0.965,0.002,4.453,10.821,0.0845,0.0,-0.0031
el1766e4499dc8,81,83,Li,TFSI,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1COCC2(C1)C(=O)OCC2C#N,0.39,0.39192305940134803,0.49309215419179875,785,64,12.265625,22219,7.4843,6.472559999999999,-0.0,0.8,prod,True,1.0156722772417228,305.039,2.3308,0.8314,5.1009,0.4686,0.4341,0.0973,2.09,2.85,True,401.0,2.75,True,2.11,89.776,1.228,28.652,0.997,0.4696,2.335,6.97,0.0545,0.0,0.0349
