row_index,csv_line,key,salt,solvent,concentration,cation,anion,solvent_key,mw_solvent,mw_salt,n_solvent,n_salt,solv_per_ion_pair,box_build_nm,n_atoms_est,solvent_ff,clamped,stage
0,2,elf35763229972,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(OC(=O)OC)CCC(C)C1,0.3,Li,FSI,S21b3f288896b,186.251,187.074,1108,64,17.312,8.1683,34988,True,False,not_built
1,3,el7597ba7690c5,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1C(=O)C2CCCC2C1=O,1.32,Li,FSI,S94838a92d05e,152.193,187.074,272,64,4.25,4.9848,6896,True,False,not_built
2,4,elac561a4f091a,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCON(C)C(C)C1CCCS1,0.66,Li,FSI,S25d091ed29f0,189.324,187.074,475,64,7.422,6.2804,15365,True,False,not_built
3,5,elf175f5db8ef1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCCC1CC1C1C(=O)CCC1C,1.5,Li,FSI,S36c1e53a8081,194.318,187.074,183,64,2.859,4.7768,7228,True,False,not_built
4,6,elf7bea05a86d1,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC1COCCCC1(C)C,0.74,Li,FSI,S76cb98704df3,142.242,187.074,559,64,8.734,6.0454,16292,True,False,not_built
5,7,el236676f27590,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(=O)C(CCC(C)C)OC,1.19,Li,FSI,S66cc5bdb407d,172.268,187.074,271,64,4.234,5.1601,9312,True,False,not_built
6,8,elacfce19e9bbb,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1CCCC(=O)C1Cl,0.66,Li,FSI,S97aa1623b0ae,160.644,187.074,560,64,8.75,6.2804,13520,True,False,not_built
7,9,eld8b3c47d745e,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(C)C(C)CCCC(=O)C#N,0.43,Li,FSI,S11dbf603976a,167.252,187.074,848,64,13.25,7.2446,25232,True,False,not_built
8,10,el838b41ea013e,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(=O)OSC,1.46,Li,FSI,Se3f549a5d23b,134.2,187.074,274,64,4.281,4.8201,5572,True,False,not_built
9,11,el4e7b20fdc6c9,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)C1C2CCC(CSC2)C1C,0.3,Li,FSI,S4d0c8ac3ea88,198.331,187.074,1040,64,16.25,8.1683,32880,True,False,not_built
10,12,el470d3e924b56,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1CCC2C3CCC3OC(=O)C12,1.14,Li,FSI,Scc9eb242aee3,194.274,187.074,253,64,3.953,5.2344,8736,True,False,not_built
11,13,el95d8465bee30,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CCC(C)C(C)C)OC,0.43,Li,FSI,S2d7695c3830d,172.312,187.074,823,64,12.859,7.2446,30268,True,False,not_built
12,14,elae6508ce0781,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCS(=O)(=O)CCCC(C)(C)C,0.43,Li,FSI,S0784587f49f4,192.324,187.074,737,64,11.516,7.2446,24224,True,False,not_built
13,15,el501f72c1362c,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1(C)CC(=O)C12CCCC2C,0.57,Li,FSI,Sa6089f35064a,194.318,187.074,542,64,8.469,6.595,20152,True,False,not_built
14,16,ela0d88377e306,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC1C2CCC(C)C(C)C12OC,0.7,Li,FSI,Sd7bdaf9f3368,196.334,187.074,430,64,6.719,6.1585,16980,True,False,not_built
