row_index,csv_line,key,salt,solvent,concentration,cation,anion,solvent_key,mw_solvent,mw_salt,n_solvent,n_salt,solv_per_ion_pair,box_build_nm,n_atoms_est,solvent_ff,clamped,stage
15,17,el794cf0ef024c,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C#N)CCCCC(=O)O1,1.1,Li,FSI,S42a5d3df1f5a,167.208,187.074,306,64,4.781,5.2971,8290,True,False,not_built
16,18,el298f4dddb774,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC1(C(C)(C)C)OOC1=O,1.28,Li,FSI,S11daa9807048,158.197,187.074,272,64,4.25,5.0362,7440,True,False,not_built
17,19,elcd935fbcaf9f,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(F)C(=O)C1(C)CCCO1,1.41,Li,FSI,S689754e2e743,160.188,187.074,239,64,3.734,4.8764,6376,True,False,not_built
18,20,el50816680a48b,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)(C)CCC(=O)N1CCCO1,0.48,Li,FSI,Sbfb28e1331c0,199.294,187.074,634,64,9.906,6.9838,22830,True,False,not_built
19,21,el4bf030141572,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(C)C(OOC)C(C)C(C)C,1.32,Li,FSI,S8bb7ec38e979,188.311,187.074,220,64,3.438,4.9848,8780,True,False,not_built
20,22,el6f84d3a04935,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC(CC)OC1CC(=O)CC1CC,0.34,Li,FSI,Sd8d51051b665,198.306,187.074,914,64,14.281,7.8345,33544,True,False,not_built
21,23,el2183aad06a0f,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CC(=O)CC1C(C)C2CCC1(C#N)C2,0.48,Li,FSI,S9c808b11287f,191.274,187.074,660,64,10.312,6.9838,21100,True,False,not_built
22,24,ela37909e71322,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCC(C)OC(=O)OC(C)=O,0.66,Li,FSI,Sd65f75c3bea9,174.196,187.074,516,64,8.062,6.2804,14056,True,False,not_built
23,25,el7028b6a30df3,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCC12CC(CCCCC1=O)C2,0.88,Li,FSI,S6025d9407903,166.264,187.074,395,64,6.172,5.7062,12490,True,False,not_built
24,26,elf5acc8607211,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,CCCOC(=O)C(C)C1CCC1CC,0.79,Li,FSI,S2c3975e95d78,198.306,187.074,373,64,5.828,5.9151,14068,True,False,not_built
25,27,el3eb110286f09,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC12CCC3CCC(C1)C2COC3,1.1,Li,TFSI,S8f5ff86e310c,180.291,287.088,263,64,4.109,5.2971,9703,True,False,not_built
26,28,elc737a74db855,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)C(=O)OC,0.88,Li,TFSI,S350f767980e6,130.143,287.088,476,64,7.438,5.7062,10068,True,False,not_built
27,29,el312023535025,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1C(=O)C2CCCC2C1=O,0.92,Li,TFSI,S94838a92d05e,152.193,287.088,386,64,6.031,5.6222,9902,True,False,not_built
28,30,elcc70c0acb705,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(=O)C(C)C1CC(C)C(C)C1,0.39,Li,TFSI,Sbb03007c1b66,168.28,287.088,911,64,14.234,7.4843,30176,True,False,not_built
29,31,el414a179bb393,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC2CC(C2)C(C)C(=O)OC1C,1.32,Li,TFSI,S06b428d05009,196.29,287.088,192,64,3.0,4.9848,7552,True,False,not_built
30,32,el88539cc97723,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)OSC,0.43,Li,TFSI,Se3f549a5d23b,134.2,287.088,1029,64,16.078,7.2446,19546,True,False,not_built
31,33,el0d3cc76cbee4,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(C)(CC)CCC(C)=O,0.52,Li,TFSI,S7a6b389b9d55,184.323,287.088,609,64,9.516,6.7999,23557,True,False,not_built
32,34,elbaea912bc037,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)OCC(=O)C(=O)C(C)C,0.88,Li,TFSI,S8f1340067aec,188.179,287.088,329,64,5.141,5.7062,9249,True,False,not_built
33,35,el062b42f57acd,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)CC1CCCCCC(C)C1,1.5,Li,TFSI,Se3c12237517c,198.306,287.088,161,64,2.516,4.7768,6820,True,False,not_built
34,36,el02617350b870,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C)CC(C)=O,0.7,Li,TFSI,Sdc50030926ce,114.188,287.088,706,64,11.031,6.1585,16556,True,False,not_built
35,37,el6643f0efc1bf,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(=O)C(CCC(C)C)OC,0.74,Li,TFSI,S66cc5bdb407d,172.268,287.088,439,64,6.859,6.0454,15072,True,False,not_built
36,38,elb5cf8685ae08,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCOC(=O)CC1CC1C1CCCC1,0.61,Li,TFSI,S7a56115b4c36,196.29,287.088,479,64,7.484,6.4476,17310,True,False,not_built
37,39,el7c816e5f3886,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(=O)C(C)C(C)OC,0.83,Li,TFSI,S33048bd02f4d,172.268,287.088,385,64,6.016,5.8185,13344,True,False,not_built
38,40,eldb1df5920079,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(C)OC(=O)CSC,1.32,Li,TFSI,Sbb7fa83b9196,162.254,287.088,232,64,3.625,4.9848,6592,True,False,not_built
39,41,el5884842047fd,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC(C)(C)C(=O)CC1C(C)(C)C,0.61,Li,TFSI,Sa28fab30c970,196.334,287.088,479,64,7.484,6.4476,19226,True,False,not_built
40,42,elbd1f28abb0f4,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC1CC(=O)C(C(C)C)C1(C)C,1.14,Li,TFSI,Sd86af9db6f52,196.334,287.088,231,64,3.609,5.2344,9802,True,False,not_built
41,43,eld4a52ffb2f7f,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC1CC(C)(C)C(C)(C)CC1=O,0.7,Li,TFSI,S4096ac4c09ea,168.28,287.088,479,64,7.484,6.1585,16352,True,False,not_built
42,44,el9ab9d70e10bb,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(=O)C(C)C(C)C(C)C(C)C,0.7,Li,TFSI,S652d24891b1c,198.35,287.088,406,64,6.344,6.1585,17264,True,False,not_built
43,45,el32457280ad3e,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCC(C(C)(C)C)C1(CC)OO1,1.06,Li,TFSI,S80f289dbd05c,186.295,287.088,266,64,4.156,5.3629,10334,True,False,not_built
44,46,el19ab8c4f0365,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CC(CF)C1(CF)CCOC1,0.34,Li,TFSI,Se980182157d3,164.195,287.088,1081,64,16.891,7.8345,28049,True,False,not_built
45,47,ela5f6b4185729,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC(=O)C(C)C(CC)SC#N,0.83,Li,TFSI,Sca8850f40247,185.292,287.088,358,64,5.594,5.8185,10690,True,False,not_built
46,48,el06eb2d7bbf69,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,0.83,Li,TFSI,S21b3f288896b,186.251,287.088,356,64,5.562,5.8185,12060,True,False,not_built
47,49,eld80ae05da57c,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC(C)CC(=O)CC,0.39,Li,TFSI,S4c6e570a4396,156.269,287.088,981,64,15.328,7.4843,31435,True,False,not_built
48,50,elf57c8abddf41,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,COC(=O)CCC1CCCCCC1C,1.14,Li,TFSI,S84e1b66e3a27,198.306,287.088,229,64,3.578,5.2344,9268,True,False,not_built
49,51,el2d0b41ef000d,[Li+].[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,CCCCC1CC1C1C(=O)CCC1C,0.39,Li,TFSI,S36c1e53a8081,194.318,287.088,789,64,12.328,7.4843,29428,True,False,not_built
50,52,ela352c98ee58f,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(C#N)CS(=O)(=O)CC,0.83,Li,Beti,S98fbd1dc7f19,175.253,387.102,357,64,5.578,5.8185,9976,True,False,not_built
51,53,el3869a36725aa,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1(OC(=O)OC)CCC(C)C1,1.41,Li,Beti,S21b3f288896b,186.251,387.102,165,64,2.578,4.8764,6523,True,False,not_built
52,54,el95e78b5083eb,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(C)CC(C)S(C)(=O)=O,0.83,Li,Beti,S215eed19c40e,192.324,387.102,325,64,5.078,5.8185,11808,True,False,not_built
53,55,ela5687bb9faf7,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(CC)C(C)C(=O)OC(C)C,1.14,Li,Beti,Sffb26a91871b,186.295,387.102,223,64,3.484,5.2344,9213,True,False,not_built
54,56,el9329f8de0c3f,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCC(=O)C(C)C(C)OC,0.43,Li,Beti,S33048bd02f4d,172.268,387.102,779,64,12.172,7.2446,26336,True,False,not_built
55,57,el3dd90f5d79fb,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COCCC(C(C)C)C(C)C,0.34,Li,Beti,S4bbc75ff2226,158.285,387.102,1097,64,17.141,7.8345,37609,True,False,not_built
56,58,eld4fbc6228233,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CC(C)C1C(C)CCOC,0.97,Li,Beti,Se5d79f034af8,184.323,387.102,279,64,4.359,5.5239,11731,True,False,not_built
57,59,el92a0cd8521dc,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)CCC(C)(C)C(C)C(C)C,0.3,Li,Beti,S778694cdca07,184.323,387.102,1078,64,16.844,8.1683,41294,True,False,not_built
58,60,el81f19c4be9e0,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC(CC)CC(=O)C(C)CC,0.57,Li,Beti,S7bb1936c0770,170.296,387.102,574,64,8.969,6.595,20924,True,False,not_built
59,61,el8709a6d4b697,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCCCC(C#N)(CC)C(C)=O,0.97,Li,Beti,S748cb522d6bf,181.279,387.102,284,64,4.438,5.5239,10496,True,False,not_built
60,62,el3bc3c559df22,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC12CC3C4CCC35CC(C1CO5)C42,0.74,Li,Beti,S69efe6872bba,190.286,387.102,378,64,5.906,6.0454,13504,True,False,not_built
61,63,el151002b0db1c,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCOC(C)OC(=O)OC,0.43,Li,Beti,Sa65afd9a774c,148.158,387.102,906,64,14.156,7.2446,21340,True,False,not_built
62,64,elefcd2c7eeea6,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC12COC(CC1C)CC2(C)C,1.28,Li,Beti,Sc89b2e9a7cc2,182.307,387.102,194,64,3.031,5.0362,8198,True,False,not_built
63,65,elfc8d5b60e7cd,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CCC(C)(C)C(=O)C1,1.19,Li,Beti,S0debb2ea78ce,154.253,387.102,254,64,3.969,5.1601,8774,True,False,not_built
64,66,eld6e8f331ccc1,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1(C)CC(=O)C12CCCC2C,1.41,Li,Beti,Sa6089f35064a,194.318,387.102,159,64,2.484,4.8764,7132,True,False,not_built
65,67,elfb44e7259eb0,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC1=CSC=CC1,0.83,Li,Beti,S7646c4e68019,128.196,387.102,488,64,7.625,5.8185,9216,True,False,not_built
66,68,elc5309b69e587,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1C(OC(C)=O)OC(=O)C1C#N,0.7,Li,Beti,S66c63f162273,197.19,387.102,390,64,6.094,6.1585,11158,True,False,not_built
67,69,el65e3da351cbb,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC(=O)C(C)C(C)C(C)C(C)C,1.01,Li,Beti,S652d24891b1c,198.35,387.102,246,64,3.844,5.45,11248,True,False,not_built
68,70,el5955dd391dde,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1(C(=O)C2CCCCC2=O)CCC1,0.48,Li,Beti,S2c6db26ab6e2,194.274,387.102,611,64,9.547,6.9838,20960,True,False,not_built
69,71,el655167388e4d,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCCC1CC2(CCCCC2)CO1,0.34,Li,Beti,S4018fef8453d,182.307,387.102,953,64,14.891,7.8345,34763,True,False,not_built
70,72,el24cdf75b1238,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,COC(=O)OCC(=O)C(=O)C(C)C,1.1,Li,Beti,S8f1340067aec,188.179,387.102,232,64,3.625,5.2971,7208,True,False,not_built
71,73,el0fe82d94cf10,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC2CCCC3(CCCC3=O)C12,0.79,Li,Beti,S8b1bf3f51566,192.302,387.102,345,64,5.391,5.9151,13138,True,False,not_built
72,74,el8cc5e371d812,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CCC1CCCC(=O)C1Cl,0.61,Li,Beti,S97aa1623b0ae,160.644,387.102,562,64,8.781,6.4476,14334,True,False,not_built
73,75,el917865322815,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC(=O)CCC1CCC(C)O1,1.19,Li,Beti,S618f437d963b,156.225,387.102,251,64,3.922,5.1601,8185,True,False,not_built
74,76,elde0d960032d0,[Li+].[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F,CC1CC(C)(C)C(C)(C)CC1=O,1.37,Li,Beti,S4096ac4c09ea,168.28,387.102,191,64,2.984,4.9234,7520,True,False,not_built
75,77,elc9bcbebc4716,[Li+].[B-](F)(F)(F)F,CC(=O)CC(C)CCOC(C)=O,0.97,Li,BF4,S306bd578470e,172.224,93.745,363,64,5.672,5.5239,10548,True,False,not_built
76,78,el0b55ee200037,[Li+].[B-](F)(F)(F)F,CCC1COC(C)C2CCC2C1C,0.79,Li,BF4,S73a7eb833b8f,182.307,93.745,425,64,6.641,5.9151,15259,True,False,not_built
77,79,elb88f75c93135,[Li+].[B-](F)(F)(F)F,CCCCC(OC(C)=O)C(C)(C)F,0.43,Li,BF4,S73f7060b1e00,190.258,93.745,764,64,11.938,7.2446,24832,True,False,not_built
78,80,ele4130ef7fb7d,[Li+].[B-](F)(F)(F)F,CCC(C)CC(C)=O,1.28,Li,BF4,Sdc50030926ce,114.188,93.745,407,64,6.359,5.0362,9338,True,False,not_built
79,81,el2788879a5d04,[Li+].[B-](F)(F)(F)F,CC1CCCC2CC1COC(C)(C)C2,1.23,Li,BF4,Sc542501a432b,196.334,93.745,247,64,3.859,5.1035,9770,True,False,not_built
80,82,el58f3af94d1b3,[Li+].[B-](F)(F)(F)F,CC(C)CCOC(=O)C(C)(C)F,0.74,Li,BF4,S18cb379914cf,176.231,93.745,471,64,7.359,6.0454,14043,True,False,not_built
81,83,el2316e82aa087,[Li+].[B-](F)(F)(F)F,CC1CC2CCCC3(CCCC3=O)C12,0.92,Li,BF4,S8b1bf3f51566,192.302,93.745,343,64,5.359,5.6222,12046,True,False,not_built
82,84,el8a2fcb8785a2,[Li+].[B-](F)(F)(F)F,CC(C)C(C)CCCC(=O)C#N,0.66,Li,BF4,S11dbf603976a,167.252,93.745,559,64,8.734,6.2804,16595,True,False,not_built
83,85,el9bc5e1d1ef88,[Li+].[B-](F)(F)(F)F,CC(C)(C)c1ccc2c(c1)ON(F)O2,1.01,Li,BF4,Sfff8dded6392,197.209,93.745,303,64,4.734,5.45,8262,True,False,not_built
84,86,el174db485fccc,[Li+].[B-](F)(F)(F)F,CCC12CC1OC(=O)CCCCC2C,1.06,Li,BF4,S87be929fcdd1,196.29,93.745,290,64,4.531,5.3629,10244,True,False,not_built
85,87,ela6d2d98d91bd,[Li+].[B-](F)(F)(F)F,CCCC(CCC(F)F)C(=O)OC,1.14,Li,BF4,S3edf6137d9c9,194.221,93.745,271,64,4.234,5.2344,8243,True,False,not_built
86,88,elc4013212969b,[Li+].[B-](F)(F)(F)F,CC1C(CS(C)(=O)=O)C1(C)C,0.43,Li,BF4,Scd162cff19ff,176.281,93.745,824,64,12.875,7.2446,22632,True,False,not_built
87,89,elb13ed757beab,[Li+].[B-](F)(F)(F)F,CCC12COC(CC1C)CC2(C)C,1.1,Li,BF4,Sc89b2e9a7cc2,182.307,93.745,300,64,4.688,5.2971,10884,True,False,not_built
88,90,el68fdf80c2fad,[Li+].[B-](F)(F)(F)F,CCC(CC)C(C)C(=O)OC(C)C,1.5,Li,BF4,Sffb26a91871b,186.295,93.745,210,64,3.281,4.7768,7734,True,False,not_built
89,91,el2bd4383c3559,[Li+].[B-](F)(F)(F)F,CC1CCC(=O)CC(=O)C12CCCC2,1.23,Li,BF4,S9fc75bb3be25,194.274,93.745,250,64,3.906,5.1035,8384,True,False,not_built
90,92,el3b97cc921760,[Li+].[B-](F)(F)(F)F,CCC(=O)C(C)C(CC)SC#N,0.43,Li,BF4,Sca8850f40247,185.292,93.745,784,64,12.25,7.2446,21552,True,False,not_built
91,93,el0c5fa3ee9ef6,[Li+].[B-](F)(F)(F)F,COC(=O)C1CC(C)(F)CC1CF,1.01,Li,BF4,S0e2a3cf7f309,192.205,93.745,311,64,4.859,5.45,8781,True,False,not_built
92,94,elcaeee303da8b,[Li+].[B-](F)(F)(F)F,CCCCC(OC)C(CC)CC,0.92,Li,BF4,Sc99d9b16dbb5,172.312,93.745,383,64,5.984,5.6222,14172,True,False,not_built
93,95,el94b8eba5f007,[Li+].[B-](F)(F)(F)F,CCCC(C(C)C)C(C)C(=O)OC,0.88,Li,BF4,S154d08ee4719,186.295,93.745,371,64,5.797,5.7062,13369,True,False,not_built
94,96,el8f3de7778088,[Li+].[B-](F)(F)(F)F,CCC(=O)C(CCC(C)C)OC,0.97,Li,BF4,S66cc5bdb407d,172.268,93.745,363,64,5.672,5.5239,12000,True,False,not_built
95,97,el9fe0d135300f,[Li+].[B-](F)(F)(F)F,CC1C2CC(=O)C(C#N)C(C)(C)CC12,1.06,Li,BF4,Sf8166c430727,191.274,93.745,297,64,4.641,5.3629,9591,True,False,not_built
96,98,eld498a27a2c63,[Li+].[B-](F)(F)(F)F,CCC1C(COC)C2C3CC3CC12C,1.28,Li,BF4,S71694db42c96,194.318,93.745,239,64,3.734,5.0362,8988,True,False,not_built
97,99,el9d856546ceb0,[Li+].[B-](F)(F)(F)F,CCCC1C2CCC(C)C(C)C12OC,1.01,Li,BF4,Sd7bdaf9f3368,196.334,93.745,305,64,4.766,5.45,11974,True,False,not_built
98,100,eld6555ba846b1,[Li+].[B-](F)(F)(F)F,CC(CF)C1(CF)CCOC1,0.66,Li,BF4,Se980182157d3,164.195,93.745,569,64,8.891,6.2804,14609,True,False,not_built
99,101,elf918275ed8b0,[Li+].[B-](F)(F)(F)F,CCC1CCC2OC(=O)OC12,0.43,Li,BF4,S44b0ad759a7a,156.181,93.745,930,64,14.531,7.2446,21774,True,False,not_built
100,102,el1dbbf308a0dd,[Li+].F[P-](F)(F)(F)(F)F,CC12CCCC1(C)C(C(=O)C#N)CC2,0.61,Li,PF6,Sd9dc0fe3209c,191.274,151.903,519,64,8.109,6.4476,16601,True,False,not_built
101,103,el3146290dc960,[Li+].F[P-](F)(F)(F)(F)F,CSCCC(=O)CSC,1.06,Li,PF6,Scd79c24ad6c2,164.295,151.903,333,64,5.203,5.3629,7505,True,False,not_built
102,104,eld04353f66ede,[Li+].F[P-](F)(F)(F)(F)F,CC(=O)C1CCCS(=O)(=O)C1,0.7,Li,PF6,S102a9bcca9d2,176.237,151.903,486,64,7.594,6.1585,11690,True,False,not_built
103,105,elb2a92b38832e,[Li+].F[P-](F)(F)(F)(F)F,CCC(=O)CC1OC(=O)C1C1CC1,0.92,Li,PF6,Sb1b067069f60,182.219,151.903,350,64,5.469,5.6222,9962,True,False,not_built
104,106,elf4108c4f5c80,[Li+].F[P-](F)(F)(F)(F)F,CCCC1(CC)COC(=O)OC1,1.37,Li,PF6,Sda1cacdbc9c4,172.224,151.903,238,64,3.719,4.9234,7176,True,False,not_built
105,107,eldbe5746dbac4,[Li+].F[P-](F)(F)(F)(F)F,CCCCC(C)OC(=O)OCC,0.7,Li,PF6,Sf0923465db12,174.24,151.903,492,64,7.688,6.1585,15272,True,False,not_built
106,108,ela9e82ab32dba,[Li+].F[P-](F)(F)(F)(F)F,COC(=O)CC1(CC(C)C)CCC1,0.92,Li,PF6,S1dd77507259b,184.279,151.903,346,64,5.406,5.6222,11930,True,False,not_built
107,109,el268660d5c8bc,[Li+].F[P-](F)(F)(F)(F)F,CCCCC(C)C(=O)OOCF,1.01,Li,PF6,S933ec6c66b81,178.203,151.903,323,64,5.047,5.45,9233,True,False,not_built
108,110,elac14a9a8bf66,[Li+].F[P-](F)(F)(F)(F)F,CCN1C(C)CC(=O)C12CC2C,1.14,Li,PF6,Sf4671bf64324,167.252,151.903,301,64,4.703,5.2344,9241,True,False,not_built
